"id","name","kecamatan_id"
"kel1101010001","LATIUNG","TEUPAH SELATAN"
"kel1101010002","LABUHAN BAJAU","TEUPAH SELATAN"
"kel1101010003","SUAK LAMATAN","TEUPAH SELATAN"
"kel1101010004","ANA AO","TEUPAH SELATAN"
"kel1101010005","LATALING","TEUPAH SELATAN"
"kel1101010006","PULAU BENGKALAK","TEUPAH SELATAN"
"kel1101010007","BADEGONG","TEUPAH SELATAN"
"kel1101010008","KEBUN BARU","TEUPAH SELATAN"
"kel1101010009","ULUL MAYANG","TEUPAH SELATAN"
"kel1101010010","PASIR TINGGI","TEUPAH SELATAN"
"kel1101010011","LABUHAN JAYA","TEUPAH SELATAN"
"kel1101010012","LABUHAN BAKTI","TEUPAH SELATAN"
"kel1101010013","BATU RALANG","TEUPAH SELATAN"
"kel1101010014","ALUS ALUS","TEUPAH SELATAN"
"kel1101010015","SEUNEUBOK","TEUPAH SELATAN"
"kel1101010016","BLANG SEBEL","TEUPAH SELATAN"
"kel1101010017","TRANS BARU","TEUPAH SELATAN"
"kel1101010018","TRANS MERANTI","TEUPAH SELATAN"
"kel1101010019","TRANS JERNGE","TEUPAH SELATAN"
"kel1101020022","AIR PINANG","SIMEULUE TIMUR"
"kel1101020023","KUALA MAKMUR","SIMEULUE TIMUR"
"kel1101020024","GANTING","SIMEULUE TIMUR"
"kel1101020025","LINGGI","SIMEULUE TIMUR"
"kel1101020026","LUGU","SIMEULUE TIMUR"
"kel1101020027","SINABANG","SIMEULUE TIMUR"
"kel1101020028","SUKA MAJU","SIMEULUE TIMUR"
"kel1101020029","SUKA KARYA","SIMEULUE TIMUR"
"kel1101020030","SUKA JAYA","SIMEULUE TIMUR"
"kel1101020031","AIR DINGIN","SIMEULUE TIMUR"
"kel1101020032","KOTA BATU","SIMEULUE TIMUR"
"kel1101020035","SUAK BULUH","SIMEULUE TIMUR"
"kel1101020036","UJUNG TINGGI","SIMEULUE TIMUR"
"kel1101020037","PULAU SIUMAT","SIMEULUE TIMUR"
"kel1101020038","SEFOYAN","SIMEULUE TIMUR"
"kel1101020039","AMAITENG MULIA","SIMEULUE TIMUR"
"kel1101020040","AMERIA BAHAGIA","SIMEULUE TIMUR"
"kel1101021001","SITAL","TEUPAH BARAT"
